id,name,email,gender,percentage
1,Chariot Jopke,cjopke0@ucsd.edu,Male,6.7
2,Zorana Dan,zdan1@oracle.com,Female,6.3
3,Kurt Rumble,krumble2@tamu.edu,Male,6.9
4,Ethyl Yandell,eyandell3@bluehost.com,Female,6.4
5,Aeriela Bolzen,abolzen4@lycos.com,Female,6.5
6,Junette Audritt,jaudritt5@mail.ru,Female,4.5
7,Valentino Skillicorn,vskillicorn6@shutterfly.com,Male,7.2
8,Tuesday Gogie,tgogie7@photobucket.com,Female,6.1
9,Rowena Brum,rbrum8@hp.com,Female,3.9
10,Cathlene Snedker,csnedker9@geocities.com,Female,2.7
11,Carleton Le Friec,clea@stumbleupon.com,Male,7.3
12,Madge Yarnell,myarnellb@pbs.org,Polygender,8.3
13,Jacinthe Cooley,jcooleyc@ihg.com,Female,6.7
14,Garrott Garm,ggarmd@wunderground.com,Male,7.9
15,Robers Barnett,rbarnette@hubpages.com,Male,7.5
16,Catarina Tabard,ctabardf@soup.io,Female,7.7
17,Daisy Tomley,dtomleyg@miibeian.gov.cn,Polygender,5.1
18,Lara Simoneschi,lsimoneschih@php.net,Polygender,1.0
19,Earvin Romand,eromandi@chronoengine.com,Male,9.6
20,Jared Vickress,jvickressj@wisc.edu,Male,1.0
21,Clarey Straker,cstrakerk@hatena.ne.jp,Female,9.5
22,Merrie Croote,mcrootel@dailymotion.com,Female,1.1
23,Karoly Fulker,kfulkerm@comcast.net,Female,5.5
24,Clayson Carding,ccardingn@pbs.org,Male,9.6
25,Nelia Palffrey,npalffreyo@deliciousdays.com,Female,5.4
26,Hersh Baxill,hbaxillp@i2i.jp,Male,1.1
27,Moyna Neal,mnealq@spotify.com,Female,1.7
28,Shae Treece,streecer@globo.com,Male,3.6
29,Sonni Shepeard,sshepeards@gov.uk,Female,3.6
30,Gaspar Phinnessy,gphinnessyt@prweb.com,Male,8.9
31,Anita Speddin,aspeddinu@purevolume.com,Female,4.3
32,Isa Janosevic,ijanosevicv@va.gov,Male,3.3
33,Addy Labarre,alabarrew@yolasite.com,Male,4.9
34,Whitman Strachan,wstrachanx@usa.gov,Male,9.8
35,Norah Christofe,nchristofey@51.la,Female,5.2
36,Anne-corinne MacCathay,amaccathayz@patch.com,Female,4.0
37,Sherilyn Fassan,sfassan10@ustream.tv,Non-binary,1.4
38,Maryanne Phaup,mphaup11@google.com.au,Female,6.9
39,Drud Sunman,dsunman12@biblegateway.com,Male,3.5
40,Crichton Whitnell,cwhitnell13@topsy.com,Male,1.6
41,Livia Delbergue,ldelbergue14@wunderground.com,Female,3.9
42,Shelba Fawdrey,sfawdrey15@naver.com,Female,4.6
43,Major Burnell,mburnell16@vinaora.com,Male,3.1
44,Neill Clitherow,nclitherow17@marketwatch.com,Male,3.9
45,Shadow Hadny,shadny18@gmpg.org,Male,7.3
46,Florida Sharphouse,fsharphouse19@angelfire.com,Female,5.5
47,Demott Spancock,dspancock1a@cisco.com,Bigender,2.7
48,Marchelle Labone,mlabone1b@liveinternet.ru,Genderqueer,7.4
49,Brit Sancias,bsancias1c@soundcloud.com,Male,3.5
50,Roderick Sellens,rsellens1d@army.mil,Male,7.5
51,Sallee Mathe,smathe1e@histats.com,Female,2.2
52,Bunny Sturch,bsturch1f@unc.edu,Female,5.8
53,Burty Epelett,bepelett1g@apache.org,Male,9.6
54,Dirk Firmin,dfirmin1h@diigo.com,Male,7.4
